Kod;Nazwa;gęstość-2002;gęstość-2003;gęstość-2004;gęstość-2005;gęstość-2006;gęstość-2007;gęstość-2008;gęstość-2009;gęstość-2010;gęstość-2011;gęstość-2012;gęstość-2013;gęstość-2014;gęstość-2015;gęstość-2016;gęstość-2017;gęstość-2018;gęstość-2019;gęstość-2020;gęstość-2021;gęstość-2022;gęstość-2023;ludność-2002;ludność-2003;ludność-2004;ludność-2005;ludność-2006;ludność-2007;ludność-2008;ludność-2009;ludność-2010;ludność-2011;ludność-2012;ludność-2013;ludność-2014;ludność-2015;ludność-2016;ludność-2017;ludność-2018;ludność-2019;ludność-2020;ludność-2021;ludność-2022;ludność-2023
201000;Powiat bolesławiecki;67,6;67,8;67,8;67,8;67,9;67,9;68,2;68,3;69,4;69,4;69,4;69,3;69,3;69,2;69,2;69,2;69,2;69,1;67,9;67,7;67,5;67,2;88,13;88,31;88,38;88,34;88,50;88,56;88,85;89,05;90,51;90,53;90,42;90,31;90,35;90,20;90,18;90,17;90,20;90,10;88,52;88,28;87,92;87,64
202000;Powiat dzierżoniowski;222,4;221,5;220,7;219,8;218,6;218,0;217,1;216,6;221,9;221,0;220,0;218,6;217,5;216,0;214,5;213,3;212,0;210,7;204,8;202,5;200,3;198,0;106,48;106,02;105,65;105,21;104,62;104,30;103,88;103,64;106,17;105,76;105,28;104,61;104,08;103,35;102,65;102,08;101,44;100,81;97,99;96,88;95,86;94,74
203000;Powiat głogowski;198,3;198,0;197,8;197,9;197,8;197,6;197,6;197,9;203,7;203,6;203,9;203,7;203,5;203,5;203,0;202,9;202,0;201,0;195,8;194,9;193,3;191,9;87,87;87,72;87,64;87,67;87,67;87,58;87,59;87,71;90,32;90,25;90,39;90,30;90,22;90,21;89,99;89,93;89,54;89,10;86,80;86,38;85,69;85,04
204000;Powiat górowski;49,9;49,8;49,7;49,6;49,4;49,3;49,3;49,2;49,9;49,8;49,6;49,3;49,1;48,7;48,4;48,0;47,7;47,2;45,2;44,7;44,3;44,0;36,82;36,76;36,66;36,61;36,46;36,42;36,41;36,32;36,85;36,73;36,63;36,39;36,24;35,94;35,72;35,47;35,18;34,87;33,38;33,03;32,74;32,46
205000;Powiat jaworski;90,6;90,4;90,1;89,8;89,4;89,1;89,0;88,7;90,8;90,5;90,0;89,5;89,1;88,5;88,0;87,6;86,9;86,2;83,6;82,6;81,9;81,2;52,63;52,52;52,34;52,21;51,97;51,79;51,76;51,58;52,81;52,60;52,36;52,07;51,80;51,45;51,18;50,95;50,55;50,12;48,63;48,03;47,58;47,21
206000;Powiat karkonoski;102,0;102,1;101,8;101,6;101,6;101,8;101,7;101,8;104,0;103,9;103,9;103,9;103,6;103,0;102,7;102,3;101,8;101,4;98,7;98,0;97,3;96,4;64,08;64,16;63,97;63,85;63,71;63,82;63,76;63,87;65,23;65,14;65,13;65,17;64,97;64,60;64,40;64,18;63,86;63,59;61,88;61,47;61,02;60,44
207000;Powiat kamiennogórski;119,2;118,6;118,1;117,7;116,8;116,3;115,6;115,1;116,3;115,8;115,0;113,8;113,0;112,2;111,9;111,2;110,2;109,3;105,7;104,2;103,1;101,9;47,20;46,99;46,80;46,63;46,23;46,00;45,72;45,56;46,03;45,84;45,49;45,04;44,70;44,40;44,26;44,00;43,62;43,24;41,82;41,24;40,79;40,32
208000;Powiat kłodzki;103,6;102,9;102,2;101,7;101,0;100,5;100,1;99,6;102,0;101,5;101,0;100,2;99,6;98,9;98,2;97,6;97,0;96,1;92,9;91,6;90,5;89,4;170,21;169,06;168,00;167,06;166,04;165,15;164,43;163,65;167,70;166,84;165,95;164,68;163,67;162,47;161,45;160,47;159,34;158,00;152,65;150,52;148,68;146,95
209000;Powiat legnicki;71,2;71,2;71,3;71,2;71,4;71,6;71,8;72,1;73,4;73,6;73,7;73,7;74,0;74,0;74,2;74,2;74,4;74,1;74,0;74,0;74,0;74,0;53,04;53,00;53,07;53,01;53,10;53,25;53,44;53,62;54,58;54,74;54,83;54,87;55,03;55,05;55,18;55,23;55,33;55,17;55,04;55,08;55,03;55,03
210000;Powiat lubański;135,0;134,5;133,9;133,6;132,8;132,2;131,7;130,9;133,1;132,5;131,9;131,0;130,5;129,7;129,0;128,4;127,7;126,7;123,6;122,3;121,1;120,0;57,81;57,57;57,32;57,19;56,88;56,62;56,43;56,09;57,03;56,73;56,50;56,12;55,90;55,53;55,24;54,99;54,70;54,25;52,94;52,37;51,89;51,41
211000;Powiat lubiński;149,4;149,1;148,9;148,6;148,3;147,9;147,9;147,8;150,3;150,3;150,1;149,7;149,6;149,4;149,5;149,4;149,3;149,2;146,8;146,0;145,3;144,6;106,41;106,15;106,04;105,78;105,50;105,25;105,25;105,17;106,97;106,97;106,82;106,51;106,43;106,32;106,36;106,32;106,25;106,15;104,48;103,93;103,43;102,87
212000;Powiat lwówecki;68,6;68,3;68,3;68,0;67,5;67,3;67,0;66,5;67,7;67,5;67,2;66,7;66,2;65,8;65,6;65,3;64,9;64,7;62,0;61,3;60,8;60,3;48,71;48,50;48,49;48,31;47,91;47,73;47,52;47,19;48,07;47,88;47,66;47,32;47,01;46,68;46,53;46,36;46,06;45,93;44,03;43,47;43,16;42,82
213000;Powiat milicki;51,7;51,6;51,6;51,6;51,5;51,5;51,6;51,8;52,5;52,5;52,4;52,2;52,1;52,1;52,0;51,9;51,9;51,8;50,6;50,4;50,1;49,8;36,97;36,93;36,89;36,92;36,83;36,82;36,87;37,04;37,53;37,53;37,47;37,32;37,27;37,21;37,15;37,13;37,09;37,00;36,18;36,03;35,83;35,60
214000;Powiat oleśnicki;98,3;98,4;98,3;98,4;98,5;98,6;98,9;99,2;100,4;100,7;101,0;101,1;101,3;101,5;101,8;101,9;102,0;102,2;101,6;101,4;101,5;101,5;103,15;103,26;103,23;103,34;103,34;103,50;103,78;104,05;105,32;105,65;105,95;106,09;106,31;106,49;106,79;106,91;107,06;107,27;106,65;106,41;106,48;106,52
215000;Powiat oławski;135,2;135,4;135,7;135,8;135,9;136,5;137,2;138,1;142,5;143,4;144,1;144,6;144,9;145,1;145,6;146,0;146,1;146,4;147,7;147,6;147,5;147,7;70,83;70,93;71,07;71,10;71,22;71,54;71,91;72,36;74,70;75,15;75,53;75,79;75,95;76,06;76,33;76,51;76,60;76,75;77,41;77,34;77,30;77,43
216000;Powiat polkowicki;78,6;78,3;78,3;78,4;78,5;78,7;78,8;79,1;80,7;81,0;81,1;81,1;81,1;80,9;80,9;80,8;80,8;80,9;79,0;78,7;78,6;78,5;61,27;61,06;61,08;61,14;61,15;61,33;61,45;61,62;62,93;63,12;63,18;63,24;63,20;63,06;63,08;63,02;62,98;63,07;61,61;61,31;61,31;61,19
